City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
179,Severo-Yeniseyskiy,RU,60.3725,93.0408,6.48,93,100,6.29,overcast clouds
180,East London,ZA,-33.0153,27.9116,65.34,77,40,3.44,scattered clouds
181,Fort-Shevchenko,KZ,44.5086,50.263,32.11,49,56,11.01,broken clouds
182,Moussoro,TD,13.6408,16.4901,74.91,12,72,10.56,broken clouds
183,Jian,CN,27.1172,114.9793,57.54,23,0,3.53,clear sky
184,Tocopilla,CL,-22.092,-70.1979,70.34,80,100,1.23,overcast clouds
185,Devrek,TR,41.2192,31.9558,35.28,97,100,2.35,light snow
186,Katsuura,JP,35.1333,140.3,51.82,44,5,21.09,clear sky
187,The Valley,AI,18.217,-63.0578,76.86,74,6,19.51,clear sky
188,Lubaczow,PL,50.157,23.1234,29.52,61,99,10.63,overcast clouds
189,Ahipara,NZ,-35.1667,173.1667,65.66,92,100,13.11,light rain
190,Teya,RU,60.3778,92.6267,9.57,90,100,5.21,overcast clouds
191,Sao Raimundo Nonato,BR,-9.0153,-42.6994,69.58,56,0,2.01,clear sky
192,Sabang,ID,5.8933,95.3214,80.58,81,55,17.36,light rain
193,Hellvik,NO,59.9156,5.781,39.78,85,97,23.15,light rain
194,Hilo,US,19.7297,-155.09,69.53,91,20,4.61,light rain
195,Nicoya,CR,10.1483,-85.452,74.66,77,100,12.37,overcast clouds
196,Praya,CV,14.9215,-23.5087,68.54,68,75,17.27,broken clouds
197,Berezovka,BY,53.7214,25.4993,31.15,94,100,16.46,light snow
198,Nantucket,US,41.2835,-70.0995,46.54,87,75,13.8,broken clouds
199,Kirensk,RU,57.7853,108.1119,14.92,86,100,8.52,overcast clouds
200,Alice Springs,AU,-23.7,133.8833,88.21,40,100,9.22,overcast clouds
201,Bogorodskoye,RU,56.55,37.8833,19.81,94,94,11.56,overcast clouds
202,Cockburn Town,TC,21.4612,-71.1419,76.66,77,40,23.44,light rain
203,Corning,US,42.1428,-77.0547,40.5,93,100,9.22,overcast clouds
204,Nome,US,64.5011,-165.4064,30.16,93,75,20.71,light snow
205,Laplace,US,30.0666,-90.4801,71.58,95,100,5.75,overcast clouds
206,Wattegama,LK,6.7989,81.4808,84.22,60,74,9.44,broken clouds
207,Clyde River,CA,70.4692,-68.5914,-20.2,92,88,11.41,overcast clouds
208,Outlook,CA,51.5001,-107.0513,-5.24,89,95,9.71,overcast clouds
209,Piacabucu,BR,-10.4056,-36.4344,75.83,85,16,6.17,few clouds
210,Kotaparh,IN,19.15,82.35,82.44,27,25,4.97,scattered clouds
211,Muroto,JP,33.2833,134.15,49.73,42,25,15.75,scattered clouds
212,Progreso,MX,21.2833,-89.6667,74.1,78,19,10.98,few clouds
213,Zhangjiakou,CN,40.81,114.8794,30.63,25,0,3.2,clear sky
214,Carballo,ES,43.213,-8.691,38.91,90,42,4.18,scattered clouds
215,Pisco,PE,-13.7,-76.2167,73.45,78,0,9.22,clear sky
216,Kawalu,ID,-7.3817,108.2082,84.6,63,99,2.06,overcast clouds
217,Omboue,GA,-1.5746,9.2618,76.98,83,76,0.76,broken clouds
218,Minudasht,IR,37.2289,55.3747,42.37,65,75,0.0,broken clouds
219,Bethel,US,41.3712,-73.414,43.93,74,100,7.14,overcast clouds
220,Amahai,ID,-3.3333,128.9167,83.39,76,96,4.21,light rain
221,Valdivia,CL,-39.8142,-73.2459,55.49,99,19,1.57,few clouds
222,Opuwo,NA,-18.0607,13.84,68.11,52,82,3.74,broken clouds
223,Eirunepe,BR,-6.6603,-69.8736,71.87,100,100,2.28,overcast clouds
224,Artyom,AZ,40.4723,50.333,42.94,62,99,1.99,overcast clouds
225,Dakar,SN,14.6937,-17.4441,61.68,69,89,20.29,overcast clouds
226,Mount Gambier,AU,-37.8333,140.7667,70.36,43,100,9.75,overcast clouds
227,Ulladulla,AU,-35.35,150.4667,69.28,92,100,12.08,light rain
228,Esmeralda,CU,21.8525,-78.1169,72.52,72,18,8.28,few clouds
229,Glendive,US,47.1053,-104.7125,-5.51,73,0,1.99,clear sky
230,Anadyr,RU,64.75,177.4833,28.9,92,100,49.21,overcast clouds
231,Norfolk,US,42.1668,-71.2495,46.02,73,20,4.61,few clouds
232,Honiara,SB,-9.4333,159.95,81.52,75,100,2.48,moderate rain
233,Velez-Malaga,ES,36.7726,-4.1005,47.55,92,10,5.93,clear sky
234,Constitucion,CL,-35.3333,-72.4167,58.33,92,71,10.11,broken clouds
235,Brits,ZA,-25.6347,27.7802,66.29,91,99,10.78,light rain
236,Bathurst,AU,-33.4166,149.5806,69.82,60,94,4.72,overcast clouds
237,Padilla,CO,3.2204,-76.3139,71.17,91,95,3.02,overcast clouds
238,Soroti,UG,1.7146,33.6111,70.41,43,6,3.44,clear sky
