City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Vredendal,ZA,2023-01-29 08:28:20,-31.6683,18.5012,79.07,35,4,16.22
129,Hofn,IS,2023-01-29 08:28:22,64.2539,-15.2082,35.58,76,94,9.37
130,Hami,CN,2023-01-29 08:28:23,42.8,93.45,28.11,22,7,7.67
131,Lebu,CL,2023-01-29 08:28:25,-37.6167,-73.65,58.77,96,61,15.9
132,Brae,GB,2023-01-29 08:28:26,60.3964,-1.353,47.59,94,100,34.58
133,Rapid City,US,2023-01-29 08:26:16,44.0805,-103.231,2.5,83,20,8.05
134,Oblivskaya,RU,2023-01-29 08:28:27,48.5362,42.5014,30.06,87,100,11.45
135,Tuatapere,NZ,2023-01-29 08:28:28,-46.1333,167.6833,59.72,78,0,0.92
136,Takoradi,GH,2023-01-29 08:29:29,4.8845,-1.7554,80.83,80,98,7.27
137,Taybad,IR,2023-01-29 08:29:31,34.74,60.7756,47.64,36,92,16.11
138,Westport,US,2023-01-29 08:27:58,41.1415,-73.3579,43.2,77,0,0.0
139,Upernavik,GL,2023-01-29 08:29:32,72.7868,-56.1549,-0.51,86,97,21.34
140,Mitsamiouli,KM,2023-01-29 08:29:33,-11.3847,43.2844,82.33,78,100,9.89
141,Sinegorye,RU,2023-01-29 08:29:34,62.0788,150.477,-27.38,97,40,1.14
142,Plettenberg Bay,ZA,2023-01-29 08:29:35,-34.0527,23.3716,67.03,56,13,12.12
143,Chumikan,RU,2023-01-29 08:29:36,54.7183,135.315,-10.28,80,37,19.57
144,Norman Wells,CA,2023-01-29 08:29:38,65.282,-126.8329,-9.36,77,100,3.44
145,Ponnani,IN,2023-01-29 08:29:39,10.767,75.9252,87.12,50,21,10.67
146,Tambura,SS,2023-01-29 08:29:39,5.6,27.4667,87.15,18,61,4.21
147,Taltal,CL,2023-01-29 08:29:40,-25.4,-70.4833,65.8,83,47,1.12
148,Lincoln,US,2023-01-29 08:25:56,40.8,-96.667,6.3,76,100,18.41
149,North Bend,US,2023-01-29 08:29:43,43.4065,-124.2243,43.16,99,100,3.44
150,Nalut,LY,2023-01-29 08:29:44,30.3333,10.85,45.36,36,0,7.9
151,Zemio,CF,2023-01-29 08:29:45,5.0314,25.1361,88.63,21,91,3.22
152,Ribeira Grande,PT,2023-01-29 08:29:46,38.5167,-28.7,55.8,76,75,11.01
153,Chinhoyi,ZW,2023-01-29 08:29:47,-17.3667,30.2,76.37,74,83,3.53
154,Ames,US,2023-01-29 08:26:45,42.0347,-93.6199,7.93,81,100,19.57
155,Porkhov,RU,2023-01-29 08:29:48,57.765,29.5561,27.16,94,94,8.16
156,Guerrero Negro,MX,2023-01-29 08:29:49,27.9769,-114.0611,56.07,74,87,7.29
157,Talcahuano,CL,2023-01-29 08:29:50,-36.7167,-73.1167,58.68,94,0,4.61
158,Bull Savanna,JM,2023-01-29 08:29:52,17.8868,-77.5902,69.33,79,6,6.8
159,Mugumu,TZ,2023-01-29 08:29:53,-1.85,34.7,80.29,27,0,5.3
160,Polis,CY,2023-01-29 08:29:54,35.0367,32.4264,62.42,70,12,8.21
161,Salinopolis,BR,2023-01-29 08:29:55,-0.6136,-47.3561,76.89,85,100,5.84
162,Lorengau,PG,2023-01-29 08:29:57,-2.0226,147.2712,83.3,72,100,4.43
163,Terre Haute,US,2023-01-29 08:28:37,39.4667,-87.4139,44.24,94,100,1.99
164,Khetia,IN,2023-01-29 08:29:59,21.6667,74.5833,86.68,20,0,10.4
165,Kozluk,TR,2023-01-29 08:30:00,38.1938,41.4885,37.65,98,100,1.03
166,Sesheke,ZM,2023-01-29 08:30:01,-17.4759,24.2968,80.73,61,85,10.42
167,Darhan,MN,2023-01-29 08:30:02,49.4867,105.9228,5.18,91,25,0.31
168,Vidalia,US,2023-01-29 08:30:04,32.2177,-82.4135,40.95,81,0,0.0
169,Prince George,CA,2023-01-29 08:29:58,53.9166,-122.753,-3.75,80,0,2.3
170,Komatsushima,JP,2023-01-29 08:30:05,34.0,134.5833,42.76,52,75,10.36
171,Galle,LK,2023-01-29 08:30:06,6.0367,80.217,79.99,71,10,7.67
172,Mahebourg,MU,2023-01-29 08:30:08,-20.4081,57.7,86.29,74,75,5.75
173,Olafsvik,IS,2023-01-29 08:30:09,64.8945,-23.7142,36.41,67,68,5.48
174,Ahuimanu,US,2023-01-29 08:30:11,21.4447,-157.8378,73.11,84,75,9.22
175,Painesville,US,2023-01-29 08:25:23,41.7245,-81.2457,45.3,61,100,10.36
176,Saint-Philippe,RE,2023-01-29 08:30:12,-21.3585,55.7679,89.19,88,100,2.73
177,Batsfjord,NO,2023-01-29 08:30:13,70.6345,29.7185,31.93,100,100,20.71
178,Doka,SD,2023-01-29 08:30:14,13.5167,35.7667,90.21,17,62,8.14
179,Hasaki,JP,2023-01-29 08:30:15,35.7333,140.8333,43.21,36,89,4.32
180,Inuvik,CA,2023-01-29 08:30:16,68.3499,-133.7218,0.46,85,100,5.75
181,Nerl,RU,2023-01-29 08:31:17,56.6628,40.3893,22.33,94,96,8.97
182,Tiksi,RU,2023-01-29 08:31:18,71.6872,128.8694,-31.29,95,96,7.83
183,Souillac,MU,2023-01-29 08:31:19,-20.5167,57.5167,86.38,74,75,5.75
184,Matara,LK,2023-01-29 08:31:21,5.9485,80.5353,81.79,60,3,7.34
185,Zheleznodorozhnyy,RU,2023-01-29 08:31:22,55.7503,38.0042,27.36,91,99,7.9
186,Butaritari,KI,2023-01-29 08:31:23,3.0707,172.7902,81.46,80,21,21.03
187,Airai,TL,2023-01-29 08:31:24,-8.9266,125.4092,66.36,89,100,0.94
188,Bethel,US,2023-01-29 08:31:25,41.3712,-73.414,41.94,72,0,0.0
189,Evensk,RU,2023-01-29 08:31:26,61.95,159.2333,22.23,82,100,23.87
190,Taoudenni,ML,2023-01-29 08:31:27,22.6783,-3.9836,60.31,21,36,7.38
191,Las Palmas,ES,2023-01-29 08:31:28,28.4204,-14.0131,59.79,55,75,11.5
192,Chuy,UY,2023-01-29 08:31:29,-33.6971,-53.4616,70.54,91,41,5.68
193,Kalmunai,LK,2023-01-29 08:31:30,7.4167,81.8167,80.46,69,100,10.87
194,Kenai,US,2023-01-29 08:31:31,60.5544,-151.2583,26.1,92,100,3.44
195,High Level,CA,2023-01-29 08:31:32,58.5169,-117.136,-20.09,76,0,0.0
196,Goderich,CA,2023-01-29 08:30:33,43.7501,-81.7165,26.92,93,100,8.05
197,Mandal,IN,2023-01-29 08:31:35,25.45,74.5667,75.99,41,78,10.11
198,Hamilton,US,2023-01-29 08:31:36,39.1834,-84.5333,44.44,87,100,11.5
199,Tessalit,ML,2023-01-29 08:31:37,20.1986,1.0114,57.07,12,2,9.06
200,Sao Filipe,CV,2023-01-29 08:31:40,14.8961,-24.4956,71.47,66,19,14.58
201,Alta Floresta,BR,2023-01-29 08:31:42,-9.8756,-56.0861,68.16,99,99,3.13
202,Rocha,UY,2023-01-29 08:31:43,-34.4833,-54.3333,71.46,77,98,9.75
203,Bengkulu,ID,2023-01-29 08:31:44,-3.8004,102.2655,81.77,79,99,12.82
204,Longyearbyen,SJ,2023-01-29 08:31:45,78.2186,15.6401,26.44,68,40,11.5
205,Pampa,US,2023-01-29 08:30:56,35.5362,-100.9599,24.84,93,100,18.41
206,Cap Malheureux,MU,2023-01-29 08:31:46,-19.9842,57.6142,86.47,69,100,4.0
207,Santo Domingo,DO,2023-01-29 08:30:01,18.5001,-69.9886,72.03,89,63,5.01
208,Ponta Delgada,PT,2023-01-29 08:31:47,37.7333,-25.6667,54.32,87,75,8.05
209,Namibe,AO,2023-01-29 08:31:49,-15.1961,12.1522,80.1,67,77,1.66
210,Bathsheba,BB,2023-01-29 08:31:50,13.2167,-59.5167,70.41,83,20,6.91
211,Adur,IN,2023-01-29 08:31:51,9.1667,76.7333,91.78,31,88,6.73
212,Sangre Grande,TT,2023-01-29 08:31:52,10.5835,-61.1177,72.18,59,46,6.71
213,Mporokoso,ZM,2023-01-29 08:31:53,-9.3727,30.125,71.26,75,98,5.79
214,Roverud,NO,2023-01-29 08:31:54,60.2521,12.055,29.16,95,100,3.71
215,New Norfolk,AU,2023-01-29 08:31:56,-42.7826,147.0587,64.71,50,8,1.99
216,Bluff,NZ,2023-01-29 08:31:56,-46.6,168.3333,60.84,77,0,2.48
217,Esperance,AU,2023-01-29 08:31:58,-33.8667,121.9,68.63,61,57,19.22
218,Alofi,NU,2023-01-29 08:31:59,-19.0595,-169.9187,76.89,94,100,2.3
219,Obo,CF,2023-01-29 08:32:00,5.3998,26.4869,93.49,15,52,5.95
220,Nome,US,2023-01-29 08:32:02,64.5011,-165.4064,24.87,93,20,6.91
221,Hualmay,PE,2023-01-29 08:32:03,-11.0964,-77.6139,70.41,83,99,5.03
222,Isla Vista,US,2023-01-29 08:32:06,34.4133,-119.861,53.83,83,100,1.99
223,Ahipara,NZ,2023-01-29 08:32:07,-35.1667,173.1667,67.62,94,45,6.08
224,Husavik,IS,2023-01-29 08:33:08,66.0449,-17.3389,30.94,89,100,3.76
225,Eureka,US,2023-01-29 08:30:01,40.8021,-124.1637,44.67,96,100,1.99
226,Kijang,KR,2023-01-29 08:33:10,35.2442,129.2139,42.53,45,1,7.54
227,Filingue,NE,2023-01-29 08:33:11,14.3521,3.3168,76.19,5,99,12.24
228,Maneadero,MX,2023-01-29 08:33:13,31.7167,-116.5667,54.1,77,70,3.62
229,Tarko-Sale,RU,2023-01-29 08:33:14,64.9225,77.785,-6.29,97,88,10.13
230,Kilifarevo,BG,2023-01-29 08:33:15,42.9833,25.6333,34.21,100,100,8.05
231,Adjumani,UG,2023-01-29 08:33:16,3.3779,31.7909,96.01,16,76,1.57
232,Elblag,PL,2023-01-29 08:33:17,54.1522,19.4088,32.95,90,100,13.29
233,Berbera,SO,2023-01-29 08:33:18,10.4396,45.0143,79.99,65,65,17.83
234,Shelburne,CA,2023-01-29 08:33:19,44.0787,-80.2041,22.23,95,100,6.91
235,Dolores,AR,2023-01-29 08:33:20,-36.3132,-57.6792,60.57,93,0,5.64
